"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1947","1947","USD","US Dollar","6","Millions",,,10807,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1948","1948","USD","US Dollar","6","Millions",,,5487,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1949","1949","USD","US Dollar","6","Millions",,,5234.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1950","1950","USD","US Dollar","6","Millions",,,738,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1951","1951","USD","US Dollar","6","Millions",,,2513,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1952","1952","USD","US Dollar","6","Millions",,,1163.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1953","1953","USD","US Dollar","6","Millions",,,-701.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1954","1954","USD","US Dollar","6","Millions",,,404.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1955","1955","USD","US Dollar","6","Millions",,,478.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1956","1956","USD","US Dollar","6","Millions",,,2361.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1957","1957","USD","US Dollar","6","Millions",,,4075.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1958","1958","USD","US Dollar","6","Millions",,,536.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1959","1959","USD","US Dollar","6","Millions",,,397.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1960","1960","USD","US Dollar","6","Millions",,,4203.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1961","1961","USD","US Dollar","6","Millions",,,4913.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1962","1962","USD","US Dollar","6","Millions",,,4100.5,,
