,id,name
0,CARSA,"National currency, current prices, annual levels, seasonally adjusted"
1,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted"
2,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted"
3,DNBSA,"Deflator, national base/reference year, seasonally adjusted"
4,DOBSA,"Deflator, OECD reference year, seasonally adjusted"
5,GPSA,"Growth rate compared to previous quarter, seasonally adjusted"
6,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted"
7,LNBARSA,"National currency, chained volume estimates, national reference year, annual levels, seasonally adjusted"
8,LNBQRSA,"National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted"
9,VIXOBSA,"Volume index, OECD reference year, seasonally adjusted"
10,VOBARSA,"National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted"
11,VPVOBARSA,"US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted"
12,CTQRGPSA,"Contributions to Q-o-Q GDP growth, seasonally adjusted"
13,PERSA,"Persons, seasonally adjusted"
14,HVPVOBARSA,"Per Head, US $, constant prices, fixed PPPs, OECD reference year, seasonally adjusted"
15,HCPCARSA,"Per Head, US $, current prices, current PPPs, seasonally adjusted"
16,CD,National currency per US Dollar
17,LNBQR,"National currency, chained volume estimates, national reference year, quarterly levels"
18,CQR,"National currency, current prices, quarterly levels"
19,PER,Persons
